TIPO ATO;ÓRGÃO;Nº;DATA ASSINATURA;EMENTA;DATA DOM;OBSERVAÇÃO;ASSUNTO;LINK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;7.165;27/08/1996;Plano Diretor do Município de Belo Horizonte;;Ver alteração DOM 21/07/2010;POLÍTICA URBANA - PLANO DIRETOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO ;;13.537;30/03/2009;Dispõe sobre o programa de desenvolvimento de estágios de estudantes na Administração Direta e Indireta do poder executivo de município de Belo Horizonte;31/03/2009;;PESSOAL - ESTÁGIO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=994639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMPL;6;04/04/2009;Estabelece os procedimentos, os responsáveis e a periodicidade para registro de informações relacionadas com o desempenho das metas físicas finalísticas do Plano Plurianual de Ação Governamental e Financeiro - SOF;04/04/2009;Ver retificação DOM 15/07/2009 E 20/11/2009;ORÇAMENTO - MONITORAMENTO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=994878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSTRUÇÃO NORMATIVA;SMARH;2;06/05/2009;Estabelecer as diretrizes e os procedimentos necessários à execução do Programa de Desenvolvimento de Estágio de Estudantes na Administração direta do Poder Executivo - PDEE;08/05/2009;;PESSOAL - ESTÁGIO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=996400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;13.568;13/05/2009;Institui a Gestão Estratégica Orientada por Resultados e cria o Programa BH Metas e Resultados;14/05/2009;;ORÇAMENTO - BH METAS E RESULTADOS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=996761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;GP;5.000;13/05/2009;Designa a Coordenadora Executiva do Programa BH Metas e Resultados;14/05/2009;;ORÇAMENTO - BH METAS E RESULTADOS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=996765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;13.573;20/05/2009;"Dispõe sobre a padronização e utilização dos serviços de acesso à Internet e do Correio Eletrônico Oficial dos órgãos e entidades da Administração Direta e Indireta do Poder Executivo.
";21/05/2009;;ADMINISTRATIVO - INTERNET E REDES SOCIAIS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=997191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSTRUÇÃO DE SERVIÇOS;SMED;2;18/05/2009;Dispõe sobre procedimentos e a periodicidade para registro de informações relacionadas com o desempenho das metas físicas finalísiticas do Plano Plurianual de Ação Governamental - PPAG, relativas á Secretaria Municipal de Educação;26/05/2009;Ver retificação DOM 29/05/2009;ORÇAMENTO - PPA - EDUCAÇÃO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=997386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI COMPLEMENTAR;;101;27/05/2009;Acrescenta dispositivos à Lei Complementar nº 101, de 04/05/2000, que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal e dá outras providências, a fim de determinar a disponibilização, em tempo real, de informações pormenorizadas sobre a execução orçamentária e financeira da União, dos Estados, do Distrito Federal e dos Municípios.;27/05/2009;;ORÇAMENTO - LEI 101 - RESPONSABILIDADE FISCAL;http://www.planalto.gov.br/ccivil_03/leis/LCP/Lcp101.htm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSTRUÇÃO DE SERVIÇOS;SMED;3;26/05/2009;Dispõe sobre procedimentos e a periodicidade para registro de informações relacionadas com o desempenho das metas físicas finalísiticas do Plano Plurianual de Ação Governamental - PPAG, relativas á Secretaria Municipal de Educação;29/05/2009;;ORÇAMENTO - MONITORAMENTO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=997668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
